Latitude,Longitude,Object Name
38.490512,128.508928,bundle of ropes
38.490512,128.508928,bundle of ropes
38.490512,128.508928,bundle of ropes
38.490512,128.508928,bundle of ropes
38.490512,128.508928,bundle of ropes
38.490512,128.508928,bundle of ropes
35.987252,129.556157,bundle of ropes
35.987252,129.556157,bundle of ropes
35.987252,129.556157,bundle of ropes
35.987252,129.556157,bundle of ropes
35.987252,129.556157,bundle of ropes
35.451632,129.361615,bundle of ropes
35.451632,129.361615,bundle of ropes
37.049746,129.420208,bundle of ropes
37.049746,129.420208,bundle of ropes
37.049746,129.420208,bundle of ropes
37.049746,129.420208,bundle of ropes
37.049746,129.420208,bundle of ropes
37.049746,129.420208,bundle of ropes
37.049746,129.420208,bundle of ropes
37.049746,129.420208,bundle of ropes
37.049746,129.420208,bundle of ropes
37.049746,129.420208,bundle of ropes
37.049746,129.420208,bundle of ropes
37.049746,129.420208,bundle of ropes
37.049746,129.420208,bundle of ropes
37.049746,129.420208,bundle of ropes
37.049746,129.420208,bundle of ropes
37.049746,129.420208,bundle of ropes
37.049746,129.420208,bundle of ropes
37.049746,129.420208,bundle of ropes
37.049746,129.420208,bundle of ropes
37.049746,129.420208,bundle of ropes
37.049746,129.420208,bundle of ropes
37.049746,129.420208,bundle of ropes
37.049746,129.420208,bundle of ropes
36.075787,129.541415,bundle of ropes
33.236191,126.565765,bundle of ropes
38.208858,128.598288,bundle of ropes
36.461941,129.455171,bundle of ropes
36.461941,129.455171,bundle of ropes
36.112065,129.435957,bundle of ropes
36.046488,129.447189,bundle of ropes
36.046488,129.447189,bundle of ropes
36.358498,129.394431,bundle of ropes
36.358498,129.394431,bundle of ropes
36.358498,129.394431,bundle of ropes
36.358498,129.394431,bundle of ropes
36.358498,129.394431,bundle of ropes
36.358498,129.394431,bundle of ropes
36.358498,129.394431,bundle of ropes
36.358498,129.394431,bundle of ropes
36.358498,129.394431,bundle of ropes
36.358498,129.394431,bundle of ropes
36.358498,129.394431,bundle of ropes
36.358498,129.394431,bundle of ropes
36.358498,129.394431,bundle of ropes
36.358498,129.394431,bundle of ropes
36.358498,129.394431,bundle of ropes
36.358498,129.394431,bundle of ropes
36.358498,129.394431,bundle of ropes
36.358498,129.394431,bundle of ropes
36.358498,129.394431,bundle of ropes
36.358498,129.394431,bundle of ropes
36.358498,129.394431,bundle of ropes
36.358498,129.394431,bundle of ropes
36.358498,129.394431,bundle of ropes
36.358498,129.394431,bundle of ropes
36.358498,129.394431,bundle of ropes
36.358498,129.394431,bundle of ropes
36.358498,129.394431,bundle of ropes
36.358498,129.394431,bundle of ropes
36.358498,129.394431,bundle of ropes
36.358498,129.394431,bundle of ropes
36.358498,129.394431,bundle of ropes
36.358498,129.394431,bundle of ropes
36.358498,129.394431,bundle of ropes
36.358498,129.394431,bundle of ropes
36.358498,129.394431,bundle of ropes
36.358498,129.394431,bundle of ropes
36.358498,129.394431,bundle of ropes
36.358498,129.394431,bundle of ropes
36.358498,129.394431,bundle of ropes
36.358498,129.394431,bundle of ropes
36.358498,129.394431,bundle of ropes
36.358498,129.394431,bundle of ropes
35.877411,129.523722,bundle of ropes
35.877411,129.523722,bundle of ropes
35.877411,129.523722,bundle of ropes
35.877411,129.523722,bundle of ropes
37.055768,129.421697,bundle of ropes
37.055768,129.421697,bundle of ropes
37.055768,129.421697,bundle of ropes
37.055768,129.421697,bundle of ropes
37.055768,129.421697,bundle of ropes
37.055768,129.421697,bundle of ropes
37.055768,129.421697,bundle of ropes
37.055768,129.421697,bundle of ropes
37.055768,129.421697,bundle of ropes
37.055768,129.421697,bundle of ropes
37.055768,129.421697,bundle of ropes
37.055768,129.421697,bundle of ropes
37.055768,129.421697,bundle of ropes
37.055768,129.421697,bundle of ropes
37.055768,129.421697,bundle of ropes
37.055768,129.421697,bundle of ropes
37.055768,129.421697,bundle of ropes
37.055768,129.421697,bundle of ropes
36.509941,129.450485,bundle of ropes
36.509941,129.450485,bundle of ropes
36.509941,129.450485,bundle of ropes
36.509941,129.450485,bundle of ropes
36.509941,129.450485,bundle of ropes
36.509941,129.450485,bundle of ropes
36.509941,129.450485,bundle of ropes
36.509941,129.450485,bundle of ropes
36.509941,129.450485,bundle of ropes
36.509941,129.450485,bundle of ropes
36.509941,129.450485,bundle of ropes
36.509941,129.450485,bundle of ropes
36.509941,129.450485,bundle of ropes
36.509941,129.450485,bundle of ropes
36.509941,129.450485,bundle of ropes
36.509941,129.450485,bundle of ropes
36.509941,129.450485,bundle of ropes
36.509941,129.450485,bundle of ropes
36.509941,129.450485,bundle of ropes
36.509941,129.450485,bundle of ropes
36.509941,129.450485,bundle of ropes
36.509941,129.450485,bundle of ropes
36.509941,129.450485,bundle of ropes
36.509941,129.450485,bundle of ropes
36.509941,129.450485,bundle of ropes
36.509941,129.450485,bundle of ropes
36.509941,129.450485,bundle of ropes
36.509941,129.450485,bundle of ropes
36.509941,129.450485,bundle of ropes
36.509941,129.450485,bundle of ropes
36.509941,129.450485,bundle of ropes
36.509941,129.450485,bundle of ropes
36.509941,129.450485,bundle of ropes
36.509941,129.450485,bundle of ropes
36.509941,129.450485,bundle of ropes
36.509941,129.450485,bundle of ropes
36.509941,129.450485,bundle of ropes
36.509941,129.450485,bundle of ropes
36.509941,129.450485,bundle of ropes
36.509941,129.450485,bundle of ropes
36.509941,129.450485,bundle of ropes
36.509941,129.450485,bundle of ropes
36.509941,129.450485,bundle of ropes
36.509941,129.450485,bundle of ropes
36.509941,129.450485,bundle of ropes
36.509941,129.450485,bundle of ropes
36.509941,129.450485,bundle of ropes
36.509941,129.450485,bundle of ropes
36.509941,129.450485,bundle of ropes
36.509941,129.450485,bundle of ropes
36.509941,129.450485,bundle of ropes
36.509941,129.450485,bundle of ropes
36.509941,129.450485,bundle of ropes
38.500066,128.428822,bundle of ropes
38.500066,128.428822,bundle of ropes
38.500066,128.428822,bundle of ropes
38.500066,128.428822,bundle of ropes
38.500066,128.428822,bundle of ropes
38.500066,128.428822,bundle of ropes
38.500066,128.428822,bundle of ropes
38.500066,128.428822,bundle of ropes
38.500066,128.428822,bundle of ropes
38.500066,128.428822,bundle of ropes
38.500066,128.428822,bundle of ropes
38.500066,128.428822,bundle of ropes
38.500066,128.428822,bundle of ropes
38.500066,128.428822,bundle of ropes
38.500066,128.428822,bundle of ropes
38.500066,128.428822,bundle of ropes
38.500066,128.428822,bundle of ropes
38.500066,128.428822,bundle of ropes
38.500066,128.428822,bundle of ropes
38.500066,128.428822,bundle of ropes
38.500066,128.428822,bundle of ropes
38.500066,128.428822,bundle of ropes
38.500066,128.428822,bundle of ropes
38.500066,128.428822,bundle of ropes
38.500066,128.428822,bundle of ropes
38.500066,128.428822,bundle of ropes
38.500066,128.428822,bundle of ropes
38.500066,128.428822,bundle of ropes
38.500066,128.428822,bundle of ropes
38.500066,128.428822,bundle of ropes
38.500066,128.428822,bundle of ropes
38.500066,128.428822,bundle of ropes
38.500066,128.428822,bundle of ropes
38.500066,128.428822,bundle of ropes
38.500066,128.428822,bundle of ropes
38.500066,128.428822,bundle of ropes
38.500066,128.428822,bundle of ropes
38.500066,128.428822,bundle of ropes
38.500066,128.428822,bundle of ropes
38.500066,128.428822,bundle of ropes
38.500066,128.428822,bundle of ropes
38.500066,128.428822,bundle of ropes
38.500066,128.428822,bundle of ropes
38.500066,128.428822,bundle of ropes
38.500066,128.428822,bundle of ropes
38.500066,128.428822,bundle of ropes
38.500066,128.428822,bundle of ropes
38.500066,128.428822,bundle of ropes
35.877411,129.523722,bundle of ropes
37.055768,129.421697,bundle of ropes
37.055768,129.421697,bundle of ropes
37.055768,129.421697,bundle of ropes
36.509941,129.450485,bundle of ropes
36.509941,129.450485,bundle of ropes
36.509941,129.450485,bundle of ropes
36.509941,129.450485,bundle of ropes
36.72463,129.474399,bundle of ropes
36.72463,129.474399,bundle of ropes
35.987252,129.556157,bundle of ropes
35.987252,129.556157,bundle of ropes
38.500066,128.428822,bundle of ropes
36.72463,129.474399,bundle of ropes
36.72463,129.474399,bundle of ropes
36.72463,129.474399,bundle of ropes
35.987252,129.556157,bundle of ropes
36.72463,129.474399,bundle of ropes
36.72463,129.474399,bundle of ropes
36.358498,129.394431,bundle of ropes
36.358498,129.394431,bundle of ropes
36.358498,129.394431,bundle of ropes
36.358498,129.394431,bundle of ropes
36.358498,129.394431,bundle of ropes
36.358498,129.394431,bundle of ropes
36.358498,129.394431,bundle of ropes
36.358498,129.394431,bundle of ropes
36.358498,129.394431,bundle of ropes
38.500066,128.428822,bundle of ropes
38.500066,128.428822,bundle of ropes
38.500066,128.428822,bundle of ropes
38.500066,128.428822,bundle of ropes
38.500066,128.428822,bundle of ropes
38.500066,128.428822,bundle of ropes
38.500066,128.428822,bundle of ropes
35.987252,129.556157,bundle of ropes
35.987252,129.556157,bundle of ropes
35.987252,129.556157,bundle of ropes
35.987252,129.556157,bundle of ropes
35.987252,129.556157,bundle of ropes
35.987252,129.556157,bundle of ropes
36.358498,129.394431,bundle of ropes
36.358498,129.394431,bundle of ropes
36.358498,129.394431,bundle of ropes
36.358498,129.394431,bundle of ropes
36.358498,129.394431,bundle of ropes
38.500066,128.428822,bundle of ropes
35.987252,129.556157,circular fish trap
35.987252,129.556157,circular fish trap
35.987252,129.556157,circular fish trap
35.987252,129.556157,circular fish trap
35.987252,129.556157,circular fish trap
35.987252,129.556157,circular fish trap
35.987252,129.556157,circular fish trap
35.987252,129.556157,circular fish trap
36.358498,129.394431,circular fish trap
36.358498,129.394431,circular fish trap
36.358498,129.394431,circular fish trap
36.358498,129.394431,circular fish trap
36.358498,129.394431,circular fish trap
36.358498,129.394431,circular fish trap
36.358498,129.394431,circular fish trap
36.358498,129.394431,circular fish trap
36.358498,129.394431,circular fish trap
36.358498,129.394431,circular fish trap
36.358498,129.394431,circular fish trap
36.358498,129.394431,circular fish trap
36.358498,129.394431,circular fish trap
36.358498,129.394431,circular fish trap
36.358498,129.394431,circular fish trap
36.358498,129.394431,circular fish trap
36.358498,129.394431,circular fish trap
36.358498,129.394431,circular fish trap
36.358498,129.394431,circular fish trap
36.358498,129.394431,circular fish trap
36.358498,129.394431,circular fish trap
36.358498,129.394431,circular fish trap
36.358498,129.394431,circular fish trap
